Category,Subcategory,Date,Approval Authority Level,Notes,Amount
R&D,,2021-12-20,1,Media sign stuff and side future safe.,9.91
Marketing,,2021-12-20,1,Green assume increase.,2.05
Admin Expenses,,2021-12-20,1,Thank attention result.,9.92
Employee Compensation,Benefits,2021-12-20,1,Magazine accept natural.,1.9
Cost of Goods Sold,,2021-12-21,2,Article sport today ago economic traditional.,7.27
R&D,,2021-12-21,1,Lay item modern.,7.22
Marketing,,2021-12-21,1,Party mention represent site through could nation.,11.68
Admin Expenses,,2021-12-21,2,Miss suggest adult.,6.51
Employee Compensation,Bonuses,2021-12-21,2,Lose other doctor.,10.17
Cost of Goods Sold,,2021-12-22,3,Body range as here.,7.95
R&D,,2021-12-22,3,Again child list according successful mission.,1.66
Marketing,,2021-12-22,3,Break above maintain its gun.,2.58
Admin Expenses,,2021-12-22,1,Two share care.,9.75
Employee Compensation,Base Salary,2021-12-22,1,Car class mean own fire type again miss.,1.03
Cost of Goods Sold,,2021-12-23,1,Idea nature late ground left.,2.53
R&D,,2021-12-23,3,Sport finish catch number water.,4.89
Marketing,,2021-12-23,2,Determine discover field budget.,4.48
Admin Expenses,,2021-12-23,3,Treatment college hope gas person southern.,7.48
Employee Compensation,Benefits,2021-12-23,2,Least out both throw hold lead have.,1.76
Cost of Goods Sold,,2021-12-24,1,Station argue cover modern happen.,2.74
R&D,,2021-12-24,1,Law fill range always.,9.99
Marketing,,2021-12-24,1,Outside reality participant ground information treatment.,7.65
Admin Expenses,,2021-12-24,1,This sometimes clearly your leg.,7.54
Employee Compensation,Benefits,2021-12-24,1,Final rock very decide.,1.82
Cost of Goods Sold,,2021-12-25,1,Firm dark cup politics.,3.99
R&D,,2021-12-25,3,Discover spend message fine.,4.59
Marketing,,2021-12-25,1,Join world several create.,3.47
Admin Expenses,,2021-12-25,1,Prepare reflect coach single.,1.83
Employee Compensation,Taxes,2021-12-25,1,Could case way small officer forget eye fact.,1.8
Cost of Goods Sold,,2021-12-26,2,Artist partner art analysis decade church how.,7.83
R&D,,2021-12-26,1,Strong cost owner future.,4.29
Marketing,,2021-12-26,3,Data act set across list significant.,8.57
Admin Expenses,,2021-12-26,1,Us too design civil knowledge lot.,11.97
Employee Compensation,Base Salary,2021-12-26,3,Office past science television its soldier.,1.06
Cost of Goods Sold,,2021-12-27,2,Democratic although during require reason.,11.06
R&D,,2021-12-27,3,Throw instead sound different check onto.,4.58
Marketing,,2021-12-27,1,Likely once turn idea know.,11.21
Admin Expenses,,2021-12-27,3,Machine understand son together organization.,10.87
Employee Compensation,Taxes,2021-12-27,3,Here increase season serve.,1.3
Cost of Goods Sold,,2021-12-28,1,Measure article religious live two important.,1.29
R&D,,2021-12-28,1,State focus common life indicate environmental.,5.15
Marketing,,2021-12-28,2,Military pull when against walk town physical.,10.11
Admin Expenses,,2021-12-28,3,West clear paper writer politics Democrat usually.,1.35
Employee Compensation,Base Salary,2021-12-28,2,Camera wait reduce gun us.,1.75
